Epoch 1/50 | Loss: 0.9745 | Avg Layer-1 Gradient: 0.000024
Epoch 2/50 | Loss: 0.9335 | Avg Layer-1 Gradient: 0.000064
Epoch 3/50 | Loss: 0.9218 | Avg Layer-1 Gradient: 0.000079
Epoch 4/50 | Loss: 0.9148 | Avg Layer-1 Gradient: 0.000091
Epoch 5/50 | Loss: 0.9087 | Avg Layer-1 Gradient: 0.000104
Epoch 6/50 | Loss: 0.9058 | Avg Layer-1 Gradient: 0.000120
Epoch 7/50 | Loss: 0.9054 | Avg Layer-1 Gradient: 0.000132
Epoch 8/50 | Loss: 0.9043 | Avg Layer-1 Gradient: 0.000137
Epoch 9/50 | Loss: 0.9038 | Avg Layer-1 Gradient: 0.000153
Epoch 10/50 | Loss: 0.9034 | Avg Layer-1 Gradient: 0.000164
Epoch 11/50 | Loss: 0.9031 | Avg Layer-1 Gradient: 0.000176
Epoch 12/50 | Loss: 0.9023 | Avg Layer-1 Gradient: 0.000182
Epoch 13/50 | Loss: 0.9016 | Avg Layer-1 Gradient: 0.000193
Epoch 14/50 | Loss: 0.9018 | Avg Layer-1 Gradient: 0.000205
Epoch 15/50 | Loss: 0.9009 | Avg Layer-1 Gradient: 0.000212
Epoch 16/50 | Loss: 0.9007 | Avg Layer-1 Gradient: 0.000218
Epoch 17/50 | Loss: 0.8984 | Avg Layer-1 Gradient: 0.000229
Epoch 18/50 | Loss: 0.8949 | Avg Layer-1 Gradient: 0.000240
Epoch 19/50 | Loss: 0.8942 | Avg Layer-1 Gradient: 0.000244
Epoch 20/50 | Loss: 0.8935 | Avg Layer-1 Gradient: 0.000251
Epoch 21/50 | Loss: 0.8933 | Avg Layer-1 Gradient: 0.000250
Epoch 22/50 | Loss: 0.8928 | Avg Layer-1 Gradient: 0.000269
Epoch 23/50 | Loss: 0.8922 | Avg Layer-1 Gradient: 0.000273
Epoch 24/50 | Loss: 0.8922 | Avg Layer-1 Gradient: 0.000280
Epoch 25/50 | Loss: 0.8921 | Avg Layer-1 Gradient: 0.000289
Epoch 26/50 | Loss: 0.8919 | Avg Layer-1 Gradient: 0.000288
Epoch 27/50 | Loss: 0.8916 | Avg Layer-1 Gradient: 0.000294
Epoch 28/50 | Loss: 0.8912 | Avg Layer-1 Gradient: 0.000300
Epoch 29/50 | Loss: 0.8907 | Avg Layer-1 Gradient: 0.000306
Epoch 30/50 | Loss: 0.8908 | Avg Layer-1 Gradient: 0.000312
Epoch 31/50 | Loss: 0.8906 | Avg Layer-1 Gradient: 0.000319
Epoch 32/50 | Loss: 0.8906 | Avg Layer-1 Gradient: 0.000321
Epoch 33/50 | Loss: 0.8903 | Avg Layer-1 Gradient: 0.000324
Epoch 34/50 | Loss: 0.8903 | Avg Layer-1 Gradient: 0.000328
Epoch 35/50 | Loss: 0.8901 | Avg Layer-1 Gradient: 0.000341
Epoch 36/50 | Loss: 0.8897 | Avg Layer-1 Gradient: 0.000332
Epoch 37/50 | Loss: 0.8895 | Avg Layer-1 Gradient: 0.000344
Epoch 38/50 | Loss: 0.8890 | Avg Layer-1 Gradient: 0.000342
Epoch 39/50 | Loss: 0.8887 | Avg Layer-1 Gradient: 0.000342
Epoch 40/50 | Loss: 0.8886 | Avg Layer-1 Gradient: 0.000360
Epoch 41/50 | Loss: 0.8890 | Avg Layer-1 Gradient: 0.000364
Epoch 42/50 | Loss: 0.8888 | Avg Layer-1 Gradient: 0.000360
Epoch 43/50 | Loss: 0.8883 | Avg Layer-1 Gradient: 0.000360
Epoch 44/50 | Loss: 0.8884 | Avg Layer-1 Gradient: 0.000371
Epoch 45/50 | Loss: 0.8883 | Avg Layer-1 Gradient: 0.000375
Epoch 46/50 | Loss: 0.8883 | Avg Layer-1 Gradient: 0.000380
Epoch 47/50 | Loss: 0.8882 | Avg Layer-1 Gradient: 0.000383
Epoch 48/50 | Loss: 0.8878 | Avg Layer-1 Gradient: 0.000383
Epoch 49/50 | Loss: 0.8880 | Avg Layer-1 Gradient: 0.000385
Epoch 50/50 | Loss: 0.8874 | Avg Layer-1 Gradient: 0.000392
