Epoch 1/50 | Loss: 1.0016 | Avg Layer-1 Gradient: 0.000020
Epoch 2/50 | Loss: 1.0008 | Avg Layer-1 Gradient: 0.000021
Epoch 3/50 | Loss: 1.0003 | Avg Layer-1 Gradient: 0.000035
Epoch 4/50 | Loss: 1.0003 | Avg Layer-1 Gradient: 0.000036
Epoch 5/50 | Loss: 0.9997 | Avg Layer-1 Gradient: 0.000049
Epoch 6/50 | Loss: 0.9996 | Avg Layer-1 Gradient: 0.000061
Epoch 7/50 | Loss: 0.9993 | Avg Layer-1 Gradient: 0.000082
Epoch 8/50 | Loss: 0.9998 | Avg Layer-1 Gradient: 0.000091
Epoch 9/50 | Loss: 0.9996 | Avg Layer-1 Gradient: 0.000109
Epoch 10/50 | Loss: 0.9991 | Avg Layer-1 Gradient: 0.000132
Epoch 11/50 | Loss: 0.9994 | Avg Layer-1 Gradient: 0.000155
Epoch 12/50 | Loss: 0.9988 | Avg Layer-1 Gradient: 0.000176
Epoch 13/50 | Loss: 0.9985 | Avg Layer-1 Gradient: 0.000201
Epoch 14/50 | Loss: 0.9986 | Avg Layer-1 Gradient: 0.000214
Epoch 15/50 | Loss: 0.9981 | Avg Layer-1 Gradient: 0.000237
Epoch 16/50 | Loss: 0.9979 | Avg Layer-1 Gradient: 0.000264
Epoch 17/50 | Loss: 0.9975 | Avg Layer-1 Gradient: 0.000274
Epoch 18/50 | Loss: 0.9970 | Avg Layer-1 Gradient: 0.000298
Epoch 19/50 | Loss: 0.9970 | Avg Layer-1 Gradient: 0.000317
Epoch 20/50 | Loss: 0.9971 | Avg Layer-1 Gradient: 0.000339
Epoch 21/50 | Loss: 0.9964 | Avg Layer-1 Gradient: 0.000358
Epoch 22/50 | Loss: 0.9960 | Avg Layer-1 Gradient: 0.000378
Epoch 23/50 | Loss: 0.9958 | Avg Layer-1 Gradient: 0.000392
Epoch 24/50 | Loss: 0.9957 | Avg Layer-1 Gradient: 0.000409
Epoch 25/50 | Loss: 0.9952 | Avg Layer-1 Gradient: 0.000427
Epoch 26/50 | Loss: 0.9948 | Avg Layer-1 Gradient: 0.000443
Epoch 27/50 | Loss: 0.9950 | Avg Layer-1 Gradient: 0.000461
Epoch 28/50 | Loss: 0.9947 | Avg Layer-1 Gradient: 0.000473
Epoch 29/50 | Loss: 0.9944 | Avg Layer-1 Gradient: 0.000494
Epoch 30/50 | Loss: 0.9941 | Avg Layer-1 Gradient: 0.000501
Epoch 31/50 | Loss: 0.9938 | Avg Layer-1 Gradient: 0.000530
Epoch 32/50 | Loss: 0.9938 | Avg Layer-1 Gradient: 0.000534
Epoch 33/50 | Loss: 0.9939 | Avg Layer-1 Gradient: 0.000539
Epoch 34/50 | Loss: 0.9934 | Avg Layer-1 Gradient: 0.000553
Epoch 35/50 | Loss: 0.9932 | Avg Layer-1 Gradient: 0.000567
Epoch 36/50 | Loss: 0.9936 | Avg Layer-1 Gradient: 0.000573
Epoch 37/50 | Loss: 0.9930 | Avg Layer-1 Gradient: 0.000590
Epoch 38/50 | Loss: 0.9929 | Avg Layer-1 Gradient: 0.000588
Epoch 39/50 | Loss: 0.9928 | Avg Layer-1 Gradient: 0.000597
Epoch 40/50 | Loss: 0.9931 | Avg Layer-1 Gradient: 0.000605
Epoch 41/50 | Loss: 0.9926 | Avg Layer-1 Gradient: 0.000615
Epoch 42/50 | Loss: 0.9926 | Avg Layer-1 Gradient: 0.000621
Epoch 43/50 | Loss: 0.9922 | Avg Layer-1 Gradient: 0.000626
Epoch 44/50 | Loss: 0.9923 | Avg Layer-1 Gradient: 0.000644
Epoch 45/50 | Loss: 0.9919 | Avg Layer-1 Gradient: 0.000642
Epoch 46/50 | Loss: 0.9921 | Avg Layer-1 Gradient: 0.000656
Epoch 47/50 | Loss: 0.9922 | Avg Layer-1 Gradient: 0.000657
Epoch 48/50 | Loss: 0.9916 | Avg Layer-1 Gradient: 0.000686
Epoch 49/50 | Loss: 0.9918 | Avg Layer-1 Gradient: 0.000684
Epoch 50/50 | Loss: 0.9921 | Avg Layer-1 Gradient: 0.000680
