SEED=0
USE_ATTN_RES=False
POSITIONAL_EMBEDDINGS=sinusoidal
Epoch 1/50 | Loss: 0.9970 | Avg Layer-1 Gradient: 0.000541
Epoch 2/50 | Loss: 0.9408 | Avg Layer-1 Gradient: 0.000563
Epoch 3/50 | Loss: 0.9241 | Avg Layer-1 Gradient: 0.000726
Epoch 4/50 | Loss: 0.9131 | Avg Layer-1 Gradient: 0.000842
Epoch 5/50 | Loss: 0.9059 | Avg Layer-1 Gradient: 0.000872
Epoch 6/50 | Loss: 0.9003 | Avg Layer-1 Gradient: 0.000913
Epoch 7/50 | Loss: 0.8938 | Avg Layer-1 Gradient: 0.000956
Epoch 8/50 | Loss: 0.8897 | Avg Layer-1 Gradient: 0.000959
Epoch 9/50 | Loss: 0.8888 | Avg Layer-1 Gradient: 0.000971
Epoch 10/50 | Loss: 0.8869 | Avg Layer-1 Gradient: 0.000944
Epoch 11/50 | Loss: 0.8859 | Avg Layer-1 Gradient: 0.000979
Epoch 12/50 | Loss: 0.8842 | Avg Layer-1 Gradient: 0.000971
Epoch 13/50 | Loss: 0.8832 | Avg Layer-1 Gradient: 0.000968
Epoch 14/50 | Loss: 0.8821 | Avg Layer-1 Gradient: 0.000974
Epoch 15/50 | Loss: 0.8811 | Avg Layer-1 Gradient: 0.000960
Epoch 16/50 | Loss: 0.8804 | Avg Layer-1 Gradient: 0.000968
Epoch 17/50 | Loss: 0.8796 | Avg Layer-1 Gradient: 0.000955
Epoch 18/50 | Loss: 0.8785 | Avg Layer-1 Gradient: 0.000967
Epoch 19/50 | Loss: 0.8786 | Avg Layer-1 Gradient: 0.000956
Epoch 20/50 | Loss: 0.8775 | Avg Layer-1 Gradient: 0.000958
Epoch 21/50 | Loss: 0.8766 | Avg Layer-1 Gradient: 0.000947
Epoch 22/50 | Loss: 0.8760 | Avg Layer-1 Gradient: 0.000940
Epoch 23/50 | Loss: 0.8758 | Avg Layer-1 Gradient: 0.000949
Epoch 24/50 | Loss: 0.8748 | Avg Layer-1 Gradient: 0.000932
Epoch 25/50 | Loss: 0.8744 | Avg Layer-1 Gradient: 0.000935
Epoch 26/50 | Loss: 0.8743 | Avg Layer-1 Gradient: 0.000937
Epoch 27/50 | Loss: 0.8733 | Avg Layer-1 Gradient: 0.000948
Epoch 28/50 | Loss: 0.8731 | Avg Layer-1 Gradient: 0.000934
Epoch 29/50 | Loss: 0.8733 | Avg Layer-1 Gradient: 0.000925
Epoch 30/50 | Loss: 0.8723 | Avg Layer-1 Gradient: 0.000937
Epoch 31/50 | Loss: 0.8723 | Avg Layer-1 Gradient: 0.000938
Epoch 32/50 | Loss: 0.8714 | Avg Layer-1 Gradient: 0.000945
Epoch 33/50 | Loss: 0.8709 | Avg Layer-1 Gradient: 0.000944
Epoch 34/50 | Loss: 0.8707 | Avg Layer-1 Gradient: 0.000926
Epoch 35/50 | Loss: 0.8701 | Avg Layer-1 Gradient: 0.000952
Epoch 36/50 | Loss: 0.8695 | Avg Layer-1 Gradient: 0.000940
Epoch 37/50 | Loss: 0.8691 | Avg Layer-1 Gradient: 0.000938
Epoch 38/50 | Loss: 0.8696 | Avg Layer-1 Gradient: 0.000953
Epoch 39/50 | Loss: 0.8695 | Avg Layer-1 Gradient: 0.000932
Epoch 40/50 | Loss: 0.8685 | Avg Layer-1 Gradient: 0.000921
Epoch 41/50 | Loss: 0.8686 | Avg Layer-1 Gradient: 0.000956
Epoch 42/50 | Loss: 0.8685 | Avg Layer-1 Gradient: 0.000928
Epoch 43/50 | Loss: 0.8682 | Avg Layer-1 Gradient: 0.000942
Epoch 44/50 | Loss: 0.8679 | Avg Layer-1 Gradient: 0.000954
Epoch 45/50 | Loss: 0.8671 | Avg Layer-1 Gradient: 0.000956
Epoch 46/50 | Loss: 0.8672 | Avg Layer-1 Gradient: 0.000961
Epoch 47/50 | Loss: 0.8665 | Avg Layer-1 Gradient: 0.000951
Epoch 48/50 | Loss: 0.8661 | Avg Layer-1 Gradient: 0.000972
Epoch 49/50 | Loss: 0.8656 | Avg Layer-1 Gradient: 0.000972
Epoch 50/50 | Loss: 0.8654 | Avg Layer-1 Gradient: 0.000971
