SEED=0
USE_ATTN_RES=True
POSITIONAL_EMBEDDINGS=sinusoidal
Epoch 1/50 | Loss: 0.9576 | Avg Layer-1 Gradient: 0.000022
Epoch 2/50 | Loss: 0.9037 | Avg Layer-1 Gradient: 0.000074
Epoch 3/50 | Loss: 0.8923 | Avg Layer-1 Gradient: 0.000116
Epoch 4/50 | Loss: 0.8875 | Avg Layer-1 Gradient: 0.000141
Epoch 5/50 | Loss: 0.8780 | Avg Layer-1 Gradient: 0.000188
Epoch 6/50 | Loss: 0.8721 | Avg Layer-1 Gradient: 0.000233
Epoch 7/50 | Loss: 0.8701 | Avg Layer-1 Gradient: 0.000267
Epoch 8/50 | Loss: 0.8620 | Avg Layer-1 Gradient: 0.000313
Epoch 9/50 | Loss: 0.8600 | Avg Layer-1 Gradient: 0.000361
Epoch 10/50 | Loss: 0.8592 | Avg Layer-1 Gradient: 0.000394
Epoch 11/50 | Loss: 0.8581 | Avg Layer-1 Gradient: 0.000413
Epoch 12/50 | Loss: 0.8576 | Avg Layer-1 Gradient: 0.000452
Epoch 13/50 | Loss: 0.8564 | Avg Layer-1 Gradient: 0.000458
Epoch 14/50 | Loss: 0.8556 | Avg Layer-1 Gradient: 0.000489
Epoch 15/50 | Loss: 0.8550 | Avg Layer-1 Gradient: 0.000518
Epoch 16/50 | Loss: 0.8547 | Avg Layer-1 Gradient: 0.000536
Epoch 17/50 | Loss: 0.8537 | Avg Layer-1 Gradient: 0.000558
Epoch 18/50 | Loss: 0.8534 | Avg Layer-1 Gradient: 0.000583
Epoch 19/50 | Loss: 0.8530 | Avg Layer-1 Gradient: 0.000597
Epoch 20/50 | Loss: 0.8522 | Avg Layer-1 Gradient: 0.000616
Epoch 21/50 | Loss: 0.8512 | Avg Layer-1 Gradient: 0.000644
Epoch 22/50 | Loss: 0.8511 | Avg Layer-1 Gradient: 0.000667
Epoch 23/50 | Loss: 0.8510 | Avg Layer-1 Gradient: 0.000686
Epoch 24/50 | Loss: 0.8501 | Avg Layer-1 Gradient: 0.000701
Epoch 25/50 | Loss: 0.8499 | Avg Layer-1 Gradient: 0.000734
Epoch 26/50 | Loss: 0.8493 | Avg Layer-1 Gradient: 0.000733
Epoch 27/50 | Loss: 0.8485 | Avg Layer-1 Gradient: 0.000763
Epoch 28/50 | Loss: 0.8484 | Avg Layer-1 Gradient: 0.000790
Epoch 29/50 | Loss: 0.8481 | Avg Layer-1 Gradient: 0.000817
Epoch 30/50 | Loss: 0.8476 | Avg Layer-1 Gradient: 0.000820
Epoch 31/50 | Loss: 0.8476 | Avg Layer-1 Gradient: 0.000852
Epoch 32/50 | Loss: 0.8469 | Avg Layer-1 Gradient: 0.000874
Epoch 33/50 | Loss: 0.8466 | Avg Layer-1 Gradient: 0.000875
Epoch 34/50 | Loss: 0.8464 | Avg Layer-1 Gradient: 0.000891
Epoch 35/50 | Loss: 0.8454 | Avg Layer-1 Gradient: 0.000925
Epoch 36/50 | Loss: 0.8449 | Avg Layer-1 Gradient: 0.000945
Epoch 37/50 | Loss: 0.8443 | Avg Layer-1 Gradient: 0.000976
Epoch 38/50 | Loss: 0.8448 | Avg Layer-1 Gradient: 0.000968
Epoch 39/50 | Loss: 0.8444 | Avg Layer-1 Gradient: 0.000978
Epoch 40/50 | Loss: 0.8441 | Avg Layer-1 Gradient: 0.001002
Epoch 41/50 | Loss: 0.8436 | Avg Layer-1 Gradient: 0.001009
Epoch 42/50 | Loss: 0.8441 | Avg Layer-1 Gradient: 0.001056
Epoch 43/50 | Loss: 0.8438 | Avg Layer-1 Gradient: 0.001058
Epoch 44/50 | Loss: 0.8432 | Avg Layer-1 Gradient: 0.001093
Epoch 45/50 | Loss: 0.8425 | Avg Layer-1 Gradient: 0.001068
Epoch 46/50 | Loss: 0.8425 | Avg Layer-1 Gradient: 0.001117
Epoch 47/50 | Loss: 0.8424 | Avg Layer-1 Gradient: 0.001123
Epoch 48/50 | Loss: 0.8417 | Avg Layer-1 Gradient: 0.001131
Epoch 49/50 | Loss: 0.8416 | Avg Layer-1 Gradient: 0.001151
Epoch 50/50 | Loss: 0.8412 | Avg Layer-1 Gradient: 0.001145
