SEED=0
USE_ATTN_RES=True
POSITIONAL_EMBEDDINGS=sinusoidal
Epoch 1/50 | Loss: 0.9564 | Avg Layer-1 Gradient: 0.000107
Epoch 2/50 | Loss: 0.9052 | Avg Layer-1 Gradient: 0.000140
Epoch 3/50 | Loss: 0.8947 | Avg Layer-1 Gradient: 0.000190
Epoch 4/50 | Loss: 0.8853 | Avg Layer-1 Gradient: 0.000286
Epoch 5/50 | Loss: 0.8811 | Avg Layer-1 Gradient: 0.000370
Epoch 6/50 | Loss: 0.8769 | Avg Layer-1 Gradient: 0.000434
Epoch 7/50 | Loss: 0.8663 | Avg Layer-1 Gradient: 0.000510
Epoch 8/50 | Loss: 0.8583 | Avg Layer-1 Gradient: 0.000577
Epoch 9/50 | Loss: 0.8560 | Avg Layer-1 Gradient: 0.000612
Epoch 10/50 | Loss: 0.8547 | Avg Layer-1 Gradient: 0.000651
Epoch 11/50 | Loss: 0.8530 | Avg Layer-1 Gradient: 0.000688
Epoch 12/50 | Loss: 0.8507 | Avg Layer-1 Gradient: 0.000739
Epoch 13/50 | Loss: 0.8496 | Avg Layer-1 Gradient: 0.000772
Epoch 14/50 | Loss: 0.8485 | Avg Layer-1 Gradient: 0.000776
Epoch 15/50 | Loss: 0.8477 | Avg Layer-1 Gradient: 0.000811
Epoch 16/50 | Loss: 0.8469 | Avg Layer-1 Gradient: 0.000833
Epoch 17/50 | Loss: 0.8456 | Avg Layer-1 Gradient: 0.000852
Epoch 18/50 | Loss: 0.8456 | Avg Layer-1 Gradient: 0.000877
Epoch 19/50 | Loss: 0.8446 | Avg Layer-1 Gradient: 0.000882
Epoch 20/50 | Loss: 0.8439 | Avg Layer-1 Gradient: 0.000902
Epoch 21/50 | Loss: 0.8428 | Avg Layer-1 Gradient: 0.000944
Epoch 22/50 | Loss: 0.8427 | Avg Layer-1 Gradient: 0.000919
Epoch 23/50 | Loss: 0.8417 | Avg Layer-1 Gradient: 0.000970
Epoch 24/50 | Loss: 0.8414 | Avg Layer-1 Gradient: 0.000961
Epoch 25/50 | Loss: 0.8414 | Avg Layer-1 Gradient: 0.000992
Epoch 26/50 | Loss: 0.8407 | Avg Layer-1 Gradient: 0.001017
Epoch 27/50 | Loss: 0.8395 | Avg Layer-1 Gradient: 0.001000
Epoch 28/50 | Loss: 0.8401 | Avg Layer-1 Gradient: 0.001019
Epoch 29/50 | Loss: 0.8397 | Avg Layer-1 Gradient: 0.001031
Epoch 30/50 | Loss: 0.8384 | Avg Layer-1 Gradient: 0.001031
Epoch 31/50 | Loss: 0.8388 | Avg Layer-1 Gradient: 0.001049
Epoch 32/50 | Loss: 0.8379 | Avg Layer-1 Gradient: 0.001060
Epoch 33/50 | Loss: 0.8372 | Avg Layer-1 Gradient: 0.001104
Epoch 34/50 | Loss: 0.8369 | Avg Layer-1 Gradient: 0.001078
Epoch 35/50 | Loss: 0.8366 | Avg Layer-1 Gradient: 0.001103
Epoch 36/50 | Loss: 0.8354 | Avg Layer-1 Gradient: 0.001104
Epoch 37/50 | Loss: 0.8351 | Avg Layer-1 Gradient: 0.001113
Epoch 38/50 | Loss: 0.8353 | Avg Layer-1 Gradient: 0.001123
Epoch 39/50 | Loss: 0.8353 | Avg Layer-1 Gradient: 0.001137
Epoch 40/50 | Loss: 0.8347 | Avg Layer-1 Gradient: 0.001131
Epoch 41/50 | Loss: 0.8344 | Avg Layer-1 Gradient: 0.001121
Epoch 42/50 | Loss: 0.8341 | Avg Layer-1 Gradient: 0.001162
Epoch 43/50 | Loss: 0.8338 | Avg Layer-1 Gradient: 0.001176
Epoch 44/50 | Loss: 0.8338 | Avg Layer-1 Gradient: 0.001175
Epoch 45/50 | Loss: 0.8330 | Avg Layer-1 Gradient: 0.001171
Epoch 46/50 | Loss: 0.8326 | Avg Layer-1 Gradient: 0.001204
Epoch 47/50 | Loss: 0.8326 | Avg Layer-1 Gradient: 0.001180
Epoch 48/50 | Loss: 0.8320 | Avg Layer-1 Gradient: 0.001209
Epoch 49/50 | Loss: 0.8313 | Avg Layer-1 Gradient: 0.001197
Epoch 50/50 | Loss: 0.8303 | Avg Layer-1 Gradient: 0.001230
